,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
5508,420288.7215195124,0.0,420288.7215195124,420288.7215195124,8305.765585132152
5509,637364.5864280512,0.0,637364.5864280512,637364.5864280512,12256.448507983916
5510,741458.3193462288,0.0,741458.3193462288,741458.3193462288,14102.19995033872
5511,445981.4808735928,0.0,445981.4808735928,445981.4808735928,8781.353536990633
5512,404823.7703860563,0.0,404823.7703860563,404823.7703860563,8018.26209392419
5513,557851.057033029,0.0,557851.057033029,557851.057033029,10826.284509483003
5514,594901.8530461097,0.0,594901.8530461097,594901.8530461097,11494.923202099753
5515,325516.38433392957,0.0,325516.38433392957,325516.38433392957,6529.424465780851
5516,176607.61899044787,0.0,176607.61899044787,176607.61899044787,3652.905974621998
5517,38271.96550631878,0.0,38271.96550631878,38271.96550631878,797.3269538514847
5518,127579.67207812215,0.0,127579.67207812215,127579.67207812215,2340.858231978512
5519,217614.21424390064,0.0,217614.21424390064,217614.21424390064,4321.0239676829215
5520,30673.04032548545,0.0,30673.04032548545,30673.04032548545,638.3704061698098
5521,96353.96818916609,0.0,96353.96818916609,96353.96818916609,1771.5435065539316
5522,36870.86155275515,0.0,36870.86155275515,36870.86155275515,769.3232361136028
5523,0.0,0.0,0.0,0.0,0.0
5524,0.0,0.0,0.0,0.0,0.0
5525,0.0,0.0,0.0,0.0,0.0
5526,0.0,0.0,0.0,0.0,0.0
5527,0.0,0.0,0.0,0.0,0.0
5528,0.0,0.0,0.0,0.0,0.0
5529,0.0,0.0,0.0,0.0,0.0
5530,211259.57706779774,0.0,211259.57706779774,211259.57706779774,3610.7530870483424
5531,0.0,0.0,0.0,0.0,0.0
5532,0.0,0.0,0.0,0.0,0.0
5533,156362.6875170497,0.0,156362.6875170497,156362.6875170497,2708.480698777588
5534,0.0,0.0,0.0,0.0,0.0
5535,0.0,0.0,0.0,0.0,0.0
5536,0.0,0.0,0.0,0.0,0.0
5537,0.0,0.0,0.0,0.0,0.0
5538,0.0,0.0,0.0,0.0,0.0
5539,50141.49673712213,0.0,50141.49673712213,50141.49673712213,870.5541348907011
5540,0.0,0.0,0.0,0.0,0.0
5541,41237.19283404204,0.0,41237.19283404204,41237.19283404204,716.4637472344318
5542,95948.05802545458,0.0,95948.05802545458,95948.05802545458,1808.5791299251591
5543,111952.12682713289,0.0,111952.12682713289,111952.12682713289,2271.6196617279556
5544,97717.40458851655,0.0,97717.40458851655,97717.40458851655,2035.0601576427473
5545,36567.89760771267,0.0,36567.89760771267,36567.89760771267,762.99538504665
5546,56703.48310674611,0.0,56703.48310674611,56703.48310674611,1112.1605831620336
5547,0.0,0.0,0.0,0.0,0.0
5548,67731.25736045961,0.0,67731.25736045961,67731.25736045961,1174.513011671346
5549,69095.31989216185,0.0,69095.31989216185,69095.31989216185,1425.9939436009322
5550,0.0,0.0,0.0,0.0,0.0
5551,63172.07819767518,0.0,63172.07819767518,63172.07819767518,1095.698905894703
5552,124453.68309154561,0.0,124453.68309154561,124453.68309154561,2368.345370170054
5553,260822.51211631575,0.0,260822.51211631575,260822.51211631575,5129.964365179187
5554,48294.16865854838,0.0,48294.16865854838,48294.16865854838,1007.4525310301041
5555,89690.23665652172,0.0,89690.23665652172,89690.23665652172,1726.489870530831
5556,27914.246171561528,0.0,27914.246171561528,27914.246171561528,579.2095044588383
5557,14049.301597314545,0.0,14049.301597314545,14049.301597314545,291.558820672146
5558,233133.96986785062,0.0,233133.96986785062,233133.96986785062,4026.7471862852303
5559,316891.7697079503,0.0,316891.7697079503,316891.7697079503,6362.218303115929
5560,193810.82529117807,0.0,193810.82529117807,193810.82529117807,3989.5053137081613
5561,109766.68400016546,0.0,109766.68400016546,109766.68400016546,2284.741260303695
5562,123508.25285725157,0.0,123508.25285725157,123508.25285725157,2525.791712372325
5563,122044.98690206408,0.0,122044.98690206408,122044.98690206408,2539.270413242535
5564,370193.5152680531,0.0,370193.5152680531,370193.5152680531,7109.077466884946
5565,404152.92168463225,0.0,404152.92168463225,404152.92168463225,8000.914542226749
5566,229930.5246535952,0.0,229930.5246535952,229930.5246535952,4694.366824454416
5567,195595.55090702945,0.0,195595.55090702945,195595.55090702945,4024.399825795909
5568,301115.29270812933,0.0,301115.29270812933,301115.29270812933,6062.214627717222
5569,392711.37560137216,0.0,392711.37560137216,392711.37560137216,7787.7109975505255
5570,340278.74187596573,0.0,340278.74187596573,340278.74187596573,6804.301077307385
5571,285358.7578585311,0.0,285358.7578585311,285358.7578585311,5761.631373252405
5572,260636.74059114422,0.0,260636.74059114422,260636.74059114422,5287.593037575153
5573,163097.97699587117,0.0,163097.97699587117,163097.97699587117,3382.893977530266
5574,457439.37628830556,0.0,457439.37628830556,457439.37628830556,8987.171978781415
5575,0.0,0.0,0.0,0.0,0.0
5576,146053.55157445662,0.0,146053.55157445662,146053.55157445662,2530.680243622231
5577,194928.73885764906,0.0,194928.73885764906,194928.73885764906,3975.858583008611
5578,248940.29662975148,0.0,248940.29662975148,248940.29662975148,5061.766568214549
5579,143628.42395576884,0.0,143628.42395576884,143628.42395576884,2985.290808645163
5580,235995.15643638154,0.0,235995.15643638154,235995.15643638154,4748.345844093665
5581,241740.82082781053,0.0,241740.82082781053,241740.82082781053,4922.629624125968
5582,117603.05843085013,0.0,117603.05843085013,117603.05843085013,2447.184235791721
5583,59208.85362994798,0.0,59208.85362994798,59208.85362994798,1232.0004232386596
5584,57425.3685873456,0.0,57425.3685873456,57425.3685873456,1196.420316831967
5585,213143.46511243063,0.0,213143.46511243063,213143.46511243063,3908.0290338339923
5586,206007.88552185398,0.0,206007.88552185398,206007.88552185398,4227.646685438852
5587,193072.05847166866,0.0,193072.05847166866,193072.05847166866,3974.1820947854662
5588,120457.54974344684,0.0,120457.54974344684,120457.54974344684,2507.1665007830165
5589,232675.84509328436,0.0,232675.84509328436,232675.84509328436,4580.706056757976
5590,760183.3898568259,0.0,760183.3898568259,760183.3898568259,14420.476495180836
5591,782196.7472611635,0.0,782196.7472611635,782196.7472611635,14805.915446033052
5592,657190.4760271334,0.0,657190.4760271334,657190.4760271334,12600.607452798207
5593,637869.3952669654,0.0,637869.3952669654,637869.3952669654,12256.05911379209
5594,243362.21715692806,0.0,243362.21715692806,243362.21715692806,4953.5444422945075
