,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
30,454284.64040087175,45845.79248709761,408438.84791377414,454284.64040087175,8366.316447324267
31,454285.40127969475,18011.621651374677,436273.7796283201,454285.40127969475,8366.316447324267
32,480000.0,0.0,480000.0,480000.0,8366.316447324267
33,454286.9230373407,89058.97979371902,365227.9432436217,454286.9230373407,8366.316447324267
34,454287.68391616363,250049.43600601752,204238.2479101461,454287.68391616363,8366.316447324267
35,454288.44479498663,273825.9051724761,180462.53962251052,454288.44479498663,8366.316447324267
36,454289.2056738096,289076.9143870007,165212.2912868089,454289.2056738096,8366.316447324267
37,454289.96655263245,281885.6847470178,172404.28180561465,454289.96655263245,8366.316447324267
38,454290.72743145545,262619.5037401997,191671.22369125573,454290.72743145545,8366.316447324267
39,454291.4883102784,335700.89587284287,118590.59243743552,454291.4883102784,8366.316447324267
40,454292.2491891014,310717.83831212146,143574.41087697996,454292.2491891014,8366.316447324267
41,454293.01006792445,235087.1784469967,219205.83162092775,454293.01006792445,8366.316447324267
42,454293.7709467473,170234.2622117031,284059.50873504416,454293.7709467473,8366.316447324267
43,454294.53182557033,87287.7219019045,367006.80992366583,454294.53182557033,8366.316447324267
44,454295.2927043933,165061.43270489562,289233.85999949765,454295.2927043933,8366.316447324267
45,454296.0535832163,202070.38357723656,252225.67000597971,454296.0535832163,8366.316447324267
46,454296.81446203927,170952.8117357862,283344.00272625306,454296.81446203927,8366.316447324267
47,454297.5753408621,99165.43100110715,355132.14433975494,454297.5753408621,8366.316447324267
48,454298.3362196851,90565.04710421094,363733.28911547415,454298.3362196851,8366.316447324267
49,454299.0970985081,41360.765918642515,412938.3311798656,454299.0970985081,8366.316447324267
50,454299.8579773311,37776.293833073694,416523.5641442574,454299.8579773311,8366.316447324267
51,454300.6188561541,18026.839227834018,436273.7796283201,454300.6188561541,8366.316447324267
52,454301.379734977,18027.6001066569,436273.7796283201,454301.379734977,8366.316447324267
53,454302.1406138,18028.3609854799,436273.7796283201,454302.1406138,8366.316447324267
54,454302.901492623,18029.1218643029,436273.7796283201,454302.901492623,8366.316447324267
55,454303.6623714459,18029.88274312584,436273.7796283201,454303.6623714459,8366.316447324267
56,454304.4232502689,8550.5146205817,445753.9086296872,454304.4232502689,8366.316447324267
57,454305.18412909185,168400.02234902425,285905.1617800676,454305.18412909185,8366.316447324267
58,454305.9450079148,224730.48255132217,229575.46245659262,454305.9450079148,8366.316447324267
59,454306.7058867378,257394.83568150617,196911.87020523162,454306.7058867378,8366.316447324267
60,454307.4667655608,289095.64236727904,165211.82439828178,454307.4667655608,8366.316447324267
61,454308.2276443837,305401.70188541047,148906.52575897324,454308.2276443837,8366.316447324267
62,454308.9885232067,319850.13925171416,134458.8492714925,454308.9885232067,8366.316447324267
63,454309.7494020297,319476.40610635397,134833.34329567567,454309.7494020297,8366.316447324267
64,454310.51028085256,332851.99176423484,121458.51851661774,454310.51028085256,8366.316447324267
65,454311.27115967555,129627.25643932528,324684.0147203503,454311.27115967555,8366.316447324267
66,454312.0320384986,196829.62271268113,257482.40932581748,454312.0320384986,8366.316447324267
67,454312.7929173215,66364.8911011417,387947.9018161798,454312.7929173215,8366.316447324267
68,454313.55379614444,24367.68966484908,429945.86413129536,454313.55379614444,8366.316447324267
69,454314.31467496743,198682.0293835805,255632.28529138694,454314.31467496743,8366.316447324267
70,454315.0755537905,96694.28577635234,357620.78977743816,454315.0755537905,8366.316447324267
71,454315.8364326133,129811.41973729839,324504.4166953149,454315.8364326133,8366.316447324267
72,454316.5973114363,44497.63576091512,409818.9615505212,454316.5973114363,8366.316447324267
73,454317.35819025926,18043.578561939183,436273.7796283201,454317.35819025926,8366.316447324267
74,454318.11906908226,18044.33944076218,436273.7796283201,454318.11906908226,8366.316447324267
