,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
47,862463.7791108334,0.0,862463.7791108334,862463.7791108334,16262.15921297257
48,883352.2735661515,0.0,883352.2735661515,883352.2735661515,16618.84821057693
49,1002850.2328653879,0.0,1002850.2328653879,1002850.2328653879,18637.46618617129
50,1011557.2272074823,0.0,1011557.2272074823,1011557.2272074823,18783.104908878624
51,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19582.196126973817
52,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19582.166655329565
53,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19582.137183677987
54,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19582.107712019082
55,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19582.078240352846
56,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19582.048768679277
57,638410.7595476343,0.0,638410.7595476343,638410.7595476343,12356.906307658617
58,424927.54690633796,0.0,424927.54690633796,424927.54690633796,8481.69382073425
59,385916.98214477714,0.0,385916.98214477714,385916.98214477714,7754.167789853826
60,317692.74926649546,0.0,317692.74926649546,317692.74926649546,6464.993665717004
61,288617.9127253687,0.0,288617.9127253687,288617.9127253687,5908.4845943187565
62,290971.0798518399,0.0,290971.0798518399,290971.0798518399,5953.684299583346
63,308527.0686517741,0.0,308527.0686517741,308527.0686517741,6290.014195039171
64,292434.078918501,0.0,292434.078918501,292434.078918501,5981.757274525658
65,788518.3214637078,0.0,788518.3214637078,788518.3214637078,14989.297949557087
66,625314.4226484139,0.0,625314.4226484139,625314.4226484139,12123.694932508257
67,942159.1901250082,0.0,942159.1901250082,942159.1901250082,17616.367353192356
68,1044154.2414617174,0.0,1044154.2414617174,1044154.2414617174,19326.294580357306
69,620821.2642790825,0.0,620821.2642790825,620821.2642790825,12043.551920684196
70,868507.6323166356,0.0,868507.6323166356,868507.6323166356,16364.930880678281
71,788082.1548314791,0.0,788082.1548314791,788082.1548314791,14981.609249458948
72,995274.6209084085,0.0,995274.6209084085,995274.6209084085,18509.952008866534
73,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19581.573322573407
74,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19581.54385077427
75,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19581.514378967797
76,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19581.484907153994
77,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19581.455435332853
78,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19581.4259635044
79,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19581.396491668605
80,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19581.367019825473
81,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,19581.337547975018
82,692538.0057742356,0.0,692538.0057742356,692538.0057742356,13313.688703357893
83,436221.1427240072,0.0,436221.1427240072,436221.1427240072,8690.73471888927
84,438039.18071062217,0.0,438039.18071062217,438039.18071062217,8724.37798896745
85,396351.8677949538,0.0,396351.8677949538,396351.8677949538,7949.086956166444
